Date,Price,Open,High,Low,Vol.,Change %
20-Jul-22,"1,552.45","1,543.45","1,618.43","1,511.58",1.52M,0.58%
19-Jul-22,"1,543.50","1,584.33","1,620.35","1,494.88",2.18M,-2.60%
18-Jul-22,"1,584.77","1,337.92","1,590.95","1,336.75",2.37M,18.46%
17-Jul-22,"1,337.85","1,356.00","1,385.23","1,323.23",1.41M,-1.34%
16-Jul-22,"1,356.08","1,231.03","1,399.16","1,192.18",1.77M,10.16%
15-Jul-22,"1,231.03","1,192.83","1,284.76","1,182.22",1.74M,3.21%
14-Jul-22,"1,192.75","1,115.80","1,210.17","1,072.58",1.86M,6.89%
13-Jul-22,"1,115.83","1,038.60","1,116.51","1,012.29",2.48M,7.44%
12-Jul-22,"1,038.56","1,096.41","1,097.75","1,035.82",1.49M,-5.28%
11-Jul-22,"1,096.43","1,167.35","1,170.63","1,093.28",1.34M,-6.08%
10-Jul-22,"1,167.35","1,216.94","1,219.26","1,155.25",1.12M,-4.07%
9-Jul-22,"1,216.94","1,216.26","1,232.69","1,205.26",644.47K,0.05%
8-Jul-22,"1,216.33","1,238.10","1,275.69","1,194.15",1.45M,-1.76%
7-Jul-22,"1,238.15","1,186.48","1,252.69","1,163.85",1.18M,4.36%
6-Jul-22,"1,186.45","1,133.87","1,202.09","1,112.02",1.42M,4.63%
5-Jul-22,"1,133.90","1,151.19","1,170.97","1,079.36",1.59M,-1.50%
4-Jul-22,"1,151.19","1,074.07","1,159.76","1,045.97",1.35M,7.18%
3-Jul-22,"1,074.08","1,066.60","1,086.90","1,041.82",755.27K,0.70%
2-Jul-22,"1,066.60","1,059.05","1,077.66","1,029.03",865.06K,0.72%
1-Jul-22,"1,058.94","1,069.13","1,110.25","1,035.79",1.89M,-0.95%
30-Jun-22,"1,069.05","1,099.51","1,105.88","1,000.77",1.71M,-2.77%
29-Jun-22,"1,099.51","1,143.95","1,155.02","1,088.10",1.54M,-3.89%
28-Jun-22,"1,143.97","1,191.02","1,234.96","1,137.57",1.32M,-3.94%
27-Jun-22,"1,190.84","1,198.03","1,237.14","1,176.77",1.07M,-0.60%
26-Jun-22,"1,198.03","1,241.80","1,276.81","1,196.20",1.13M,-3.52%
25-Jun-22,"1,241.76","1,224.96","1,255.55","1,181.11",1.03M,1.37%
24-Jun-22,"1,225.03","1,144.33","1,244.82","1,132.87",1.66M,7.07%
23-Jun-22,"1,144.19","1,049.02","1,152.97","1,046.57",1.57M,9.07%
22-Jun-22,"1,049.02","1,125.96","1,127.06","1,045.37",1.58M,-6.83%
21-Jun-22,"1,125.96","1,128.29","1,192.27","1,110.63",1.60M,-0.21%
20-Jun-22,"1,128.32","1,128.39","1,165.62","1,056.58",2.04M,-0.01%
19-Jun-22,"1,128.39",995.49,"1,152.07",938.24,2.42M,13.34%
18-Jun-22,995.61,"1,086.47","1,096.93",883.35,2.77M,-8.36%
17-Jun-22,"1,086.47","1,068.49","1,116.46","1,052.17",1.45M,1.68%
16-Jun-22,"1,068.49","1,237.92","1,254.28","1,052.65",1.76M,-13.69%
15-Jun-22,"1,237.92","1,208.82","1,244.80","1,016.99",3.73M,2.24%
14-Jun-22,"1,210.84","1,206.67","1,261.39","1,078.11",3.27M,0.35%
13-Jun-22,"1,206.67","1,434.43","1,454.07","1,168.68",4.39M,-15.94%
12-Jun-22,"1,435.46","1,531.50","1,542.01","1,430.93",1.82M,-6.27%
11-Jun-22,"1,531.42","1,663.04","1,681.58","1,503.15",1.44M,-7.91%
10-Jun-22,"1,663.02","1,788.15","1,803.54","1,657.30",1.13M,-6.99%
