,Id:,text,date,retweets,likes
31,1384268284950769670,[<'RT @Techconcatalina: Mira la Entrevista Aquí:👇\nhttps://t.co/VTZ5P1yKdm\n\nAlgunos Temas abarcados:\n\n- Demoras en la Innovación de Bitcoin\n- P…'>],2021-04-19,33,0
32,1380327081184088064,"[<'@tdrud @CaitlinLong_ Not moving to Monero, but definitely using Monero AND Bitcoin together.'>]",2021-04-09,29,127
33,1378427115436175365,[<'Would voting be better with #blockchain technology? The hosts of @SpeakingofBitcoin discuss! Listen: https://t.co/MJr0H41vG3 #bitcoin #blockchainvoting #democracy https://t.co/JJymTbSrBo'>],2021-04-03,17,87
34,1377168819307732995,"[<'This #bitcoinbasics workshop video has been trending on YouTube lately: https://t.co/R7D4abDzSD \n\nIf you like the content, earn a certificate of completion in the Intro to #Bitcoin workshop, where you can learn more about the basics of open #blockchains: https://t.co/JrWAXShe3S https://t.co/ufvJOezcLG'>]",2021-03-31,13,60
35,1373907308770697216,[<'Here’s why #Bitcoin is the next #Bitcoin. Period. https://t.co/UJ9FOR0Hr2 https://t.co/u18WtVHDyN'>],2021-03-22,51,269
36,1370661303946248195,"[<'Ignore the noise. Learn about #Bitcoin, get a #crypto lifeboat, and then help someone else get theirs. Learn what I mean with my latest talk: https://t.co/NmljpasAtU https://t.co/DCbO1njsjT'>]",2021-03-13,119,520
37,1370365802554273793,[<'@Carliyke Mastering the Lightning Network 2021\n\nThen third edition of Mastering Bitcoin'>],2021-03-12,0,1
38,1368204770880548865,"[<""@BitcoinPoint_ It's licensed CC-BY"">]",2021-03-06,0,1
39,1367957442382811139,"[<""@KBenzle I am perfectly fine, thanks for your concern. \n\nI don't have an agenda. It's just that I understand the tradeoffs of decentralization and I think that Bitcoin should remain decentralized. Plenty of more centralized coins with cheap fees I can use if I want to."">]",2021-03-05,0,1
40,1367761846606983169,"[<'On this week’s episode of @SpeakingofBTC, we chat about #Bitcoin’s unstoppable power as an alternative to regional currency monopolies. Listen: https://t.co/46CtycE28U https://t.co/jcHqmAEEWV'>]",2021-03-05,13,87
41,1367638610170716161,"[<""RT @AdamBLevine: I'm the creator and one of the hosts of @SpeakingofBTC , the long running podcast formerly Let's Talk Bitcoin, along w/ ho…"">]",2021-03-05,9,0
