,Id:,text,date,retweets,likes
0,1392602041025843203,[<'Tesla &amp; Bitcoin https://t.co/YSswJmVZhP'>],2021-05-12,72488,485106
1,1386821144037236737,"[<'@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet.'>]",2021-04-26,11959,93823
2,1374619672973221892,[<'Pay by Bitcoin capability available outside US later this year'>],2021-03-24,8526,134574
3,1374619379929772034,"[<'Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.\n\nBitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.'>]",2021-03-24,18685,170997
4,1374617643446063105,[<'You can now buy a Tesla with Bitcoin'>],2021-03-24,106024,853798
5,1370449101402353669,[<'BTC (Bitcoin) is an anagram of\nTBC(The Boring Company)\nWhat a coincidence!'>],2021-03-12,16266,232333
